arch,model,lmbda,test_date,bpp,psnr_iq,msssim_iq,psnr_amp,sqnr_amp,msssim_amp,mae_phase,enc_time,dec_time,total_kmac_per_px,enc_kmac_per_px,dec_kmac_per_px,ga_kmac_per_px,ha_kmac_per_px,gs_kmac_per_px,hs_kmac_per_px,total_params,energy_1,energy_2,energy_3,energy_4
AHT,DCT-ls-a5,0.0004,20260226,0.0001068115234375,13.951147549394392,0.31677722930908203,7.960926676192692,0.055376697331666946,0.1373755931854248,1.8726797103881836,0.3177664279937744,0.06410026550292969,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,0.0010100967483595014,0.0004270905628800392,4.405045729072299e-06,3.565309089026414e-05
AHT,DCT-ls-a5,0.0008,20260226,0.497100830078125,20.622888467291425,0.8086796998977661,18.02455365321393,7.930049419403076,0.7903605103492737,1.0219900608062744,0.3330864906311035,0.08487105369567871,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,0.4915083944797516,0.3362664580345154,0.21597576141357422,0.14982160925865173
AHT,DCT-ls-a5,0.0016,20260226,0.882568359375,24.343226753315278,0.929856538772583,21.852501301469754,11.834596633911133,0.9119638204574585,0.6684049963951111,0.30442070960998535,0.07457256317138672,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,1.9304500818252563,1.0695042610168457,0.6737879514694214,0.4440314769744873
AHT,DCT-ls-a5,0.0024,20260226,1.1182403564453125,26.378814028327575,0.9621767997741699,23.917216797614373,14.130751609802246,0.9482585787773132,0.5144392848014832,0.3138241767883301,0.08643484115600586,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,4.282511234283447,1.9467014074325562,1.2143287658691406,0.9200645685195923
AHT,DCT-ls-a5,0.0032,20260226,1.27874755859375,27.57222435785601,0.9741218090057373,25.153145372487884,15.58493709564209,0.9630737900733948,0.4416373372077942,0.31732940673828125,0.08193659782409668,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,7.264013290405273,3.0683705806732178,1.9291852712631226,1.433683156967163
AHT,DCT-ls-a5,0.004,20260226,1.3964385986328125,28.003932167591834,0.9800348281860352,25.599425916403824,16.44472885131836,0.9702313542366028,0.39551958441734314,0.3127591609954834,0.08667683601379395,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,10.217842102050781,4.084139823913574,2.618992805480957,1.9495983123779297
AHT,DCT-ls-a5,0.008,20260226,1.7498779296875,29.95402591186284,0.9904481172561646,27.640362477336296,19.17140007019043,0.9840073585510254,0.2972271144390106,0.30950498580932617,0.08356928825378418,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,36.0498046875,11.50300407409668,5.855993747711182,5.69721794128418
AHT,DCT-ls-a5,0.016,20260226,2.0756683349609375,30.927689259626405,0.994526743888855,28.76390841849183,21.105085372924805,0.9894192218780518,0.24492353200912476,0.33013916015625,0.08498334884643555,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,112.35472869873047,30.51040267944336,13.566104888916016,15.455164909362793
AHT,DCT-ls-a5,0.032,20260226,2.379608154296875,31.650278203144442,0.9963579177856445,29.572083202179527,22.474380493164062,0.9919723272323608,0.21695572137832642,0.3003523349761963,0.08728504180908203,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,291.8895263671875,89.22618865966797,36.65864562988281,54.911399841308594
AHT,DCT-ls-a5,0.064,20260226,2.6430206298828125,31.881913498336854,0.9973901510238647,29.903526111730553,23.52471351623535,0.9933713674545288,0.19568869471549988,0.30275678634643555,0.08829355239868164,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,616.1063232421875,197.6314239501953,83.00984191894531,115.9598159790039
AHT,DCT-ls-a5,0.128,20260226,2.839263916015625,31.657604954996724,0.997719943523407,29.627727996640672,23.861055374145508,0.9934642910957336,0.1874510645866394,0.3090813159942627,0.09160089492797852,21.9035,9.3755,12.528,8.896,0.4795,9.028,3.5,3514344,762.8997802734375,326.42828369140625,149.11953735351562,186.33010864257812
